id,name,product_variant_ids/uuid,product_variant_ids/categ_id/id,type,lst_price
CHG1001,CHG1001 - Drainage: Abces de la marge anale ,f386c039-1e63-41d5-8453-b9fb93b3afaf,product.categ_services_general_surgery_orders,service,7500
CHG1002,CHG1002 - Drainage: Abces du Sein,d53b66eb-7e4b-4aa8-a1fa-53ee5cbd65bc,product.categ_services_general_surgery_orders,service,7500
CHG1003,CHG1003 - Drainage: Absces du Psoas,4b0a8b35-5d2c-4017-92ee-91dbb46a019d,product.categ_services_general_surgery_orders,service,15000
CHG1004,CHG1004 - Drainage: Absces intra musculaire,10d5d4eb-3154-4de7-9629-ef7ce88ce3a1,product.categ_services_general_surgery_orders,service,7500
CHG1005,CHG1005 - Drainage: Absces ischion-rectal,bb5e671f-f799-4b0b-8936-37f00f4c916e,product.categ_services_general_surgery_orders,service,7500
CHG1006,CHG1006 - Drainage: Absces pilonidal,f17137b7-1913-4962-a183-2e0bde556432,product.categ_services_general_surgery_orders,service,7500
CHG1007,CHG1007 - Drainage: Absces residuel abdominal,219e846c-0d30-4e05-a284-3ec512271c90,product.categ_services_general_surgery_orders,service,20000
CHG1008,CHG1008 - Drainage: Absces sous cutané,6f39237a-836c-4a26-acde-ca29f582fec3,product.categ_services_general_surgery_orders,service,7500
CHG1009,CHG1009 - Anthrax Skin Treatment,a2c28021-43b4-4ae0-a013-38c6fede279a,product.categ_services_general_surgery_orders,service,7500
CHG1010,CHG1010 - Lympectomie,bca52a3c-15d1-4f3f-a342-61f011636440,product.categ_services_general_surgery_orders,service,7500
CHG1011,CHG1011 - Appendicectomie,ec63fb43-fa24-4599-a9a2-d5ea6610e736,product.categ_services_general_surgery_orders,service,20000
CHG1012,CHG1012 - Caecostomie,03c14e09-65fc-4f79-a433-72b6ea519c96,product.categ_services_general_surgery_orders,service,20000
CHG1013,CHG1013 - Cauterisation,790b5ce5-edb5-4bca-9ee8-565d9f0dfc43,product.categ_services_general_surgery_orders,service,7500
CHG1014,CHG1014 - Cholecystectomie Laparoscopie,a4d22356-28c3-4f0b-b129-19cec6a3381e,product.categ_services_general_surgery_orders,service,40000
CHG1015,CHG1015 - Cholecystectomie Laparotomie,e98116c1-5d97-4afe-aa36-a1b6876dd69e,product.categ_services_general_surgery_orders,service,25000
CHG1016,CHG1016 - Colonoscopie,1080e30f-b0f9-405c-a9d1-60fc1e37bbe3,product.categ_services_general_surgery_orders,service,25000
CHG1017,CHG1017 - Colostomie,89f1ec5b-9892-4366-bcc3-1ed48c041064,product.categ_services_general_surgery_orders,service,7500
CHG1018,CHG1018 - Condylome,796b7f9b-fc99-4c6f-84df-0470e01ac3e8,product.categ_services_general_surgery_orders,service,7500
CHG1019,CHG1019 - Debridement large étandue,ed0575f5-57d7-4e24-9a86-baf5b7242b3d,product.categ_services_general_surgery_orders,service,10000
CHG1020,CHG1020 - Debridement petite étendue,eca01365-5826-42eb-bb37-c603eb762f18,product.categ_services_general_surgery_orders,service,7500
CHG1021,CHG1021 - Dilatation Anale,ae0caff8-7399-4c70-ae02-75d9f75a003c,product.categ_services_general_surgery_orders,service,15000
CHG1022,CHG1022 - Drainage absces sous phrenique,7cbdf6e9-c1d7-48b8-be97-fd9c5c9d0ab1,product.categ_services_general_surgery_orders,service,20000
CHG1023,CHG1023 - Drainage thoracique,e7d427e1-a079-42f1-ae05-8bc43ba8601c,product.categ_services_general_surgery_orders,service,15000
CHG1024,CHG1024 - Evisceration sans lesion intra,030c2181-5348-4932-b466-f0145d889f3f,product.categ_services_general_surgery_orders,service,15000
CHG1025,CHG1025 - Extraction de projectile/Bassin,246f8d53-bf75-450c-9ab6-830c19554f19,product.categ_services_general_surgery_orders,service,20000
CHG1026,CHG1026 - Extraction de projectile/Cage thoracique,ea3933a5-e44e-4f1f-8df3-9273640cf628,product.categ_services_general_surgery_orders,service,30000
CHG1027,CHG1027 - Extraction de projectile/Cavité abdominale,263ff278-29f0-4108-a00c-30529924e2c5,product.categ_services_general_surgery_orders,service,25000
CHG1028,CHG1028 - Extraction de projectile/Cou ,da920a08-1d9e-47f2-9a78-bb6f43bac009,product.categ_services_general_surgery_orders,service,15000
