id,name,product_variant_ids/uuid,product_variant_ids/categ_id/id,type,lst_price
MAT1001,MAT1001 - Anesthésie Generale,e8f5a7b8-d4b9-47aa-ad16-ff41a8f87c2c,product.categ_products_materials_orders,product,10000
MAT1002,MAT1002 - Anesthésie Locale,ded16a66-1be5-45d8-b958-9cc7884d1456,product.categ_products_materials_orders,product,7500
MAT1003,MAT1003 - Anesthésie Rach,b708885c-fc03-4e55-b117-7426c15f0b47,product.categ_products_materials_orders,product,7500
MAT1004,MAT1004 - Kit d'admission,27a4a88e-7bc1-4568-b00f-bda075bfe406,product.categ_products_materials_orders,product,500
MAT1005,MAT1005 - Diapers-Adultes,8726eae6-650f-43e4-82f4-f3e5c549234b,product.categ_products_materials_orders,product,25
MAT1006,MAT1006 - Diapers-Enfants,f4c3683e-6e63-4649-abb4-daf8900dd277,product.categ_products_materials_orders,product,20
MAT1007,MAT1007 - IV Set,9159e62f-58e3-4cf9-aae4-f6c523cacaae,product.categ_products_materials_orders,product,100
MAT1008,MAT1008 - Masque à Oxygène,aaed7b52-caf3-4b31-bea5-d62562e4d5c7,product.categ_products_materials_orders,product,250
MAT1009,MAT1009 - Masque à respirateur artificiel,5306cb9f-f328-4e82-ab16-440d9e2f420f,product.categ_products_materials_orders,product,800
MAT1010,MAT1010 - Masque pour nébulisateur,ccafdff2-c172-4d72-985a-9a3e7514a915,product.categ_products_materials_orders,product,100
MAT1011,MAT1011 - Catheter à succion,b7af5e13-0299-4aae-92ac-c8f6958c8100,product.categ_products_materials_orders,product,150
MAT1012,MAT1012 - Respirateur artificiel/par jour,660752af-80e7-496b-ac2f-c833a941e079,product.categ_products_materials_orders,product,1000
MAT1013,MAT1013 - Table chauffante/par jour,e7261beb-4c4f-4c50-a623-d2fe23deace7,product.categ_products_materials_orders,product,500
