id,name,product_variant_ids/uuid,product_variant_ids/categ_id/id,type,lst_price
OBG1001,OBG1001 - Accouchement simple (suivi à l'HSC),00843b8c-d5d9-4944-840b-29e3722fd955,product.categ_services_obstetrics_orders,service,5000
OBG1002,OBG1002 - Accouchement simple (suivi hors de l'HSC),4db2da0d-7e8a-4574-a591-9e708966275e,product.categ_services_obstetrics_orders,service,7500
OBG1003,OBG1003 - Accouchement simple + Episio (suivi à l'HSC),39a460e9-2b30-47ba-be3f-ec1a7e4dff26,product.categ_services_obstetrics_orders,service,6000
OBG1004,OBG1004 - Accouchement simple + Episio (suivi hors de l'HSC),d4bd7c2b-3b80-43e8-8963-c863a09c9d9e,product.categ_services_obstetrics_orders,service,9000
OBG1005,OBG1005 - Annexectomie,c9c2baca-06ee-4975-a2bc-f400f99c6ed4,product.categ_services_obstetrics_orders,service,25000
OBG1006,OBG1006 - Biopsie cervicale,af2dbc02-6e0f-4552-a64f-50aeafc0ff53,product.categ_services_obstetrics_orders,service,7500
OBG1007,OBG1007 - Biopsie endometriale,badfcdc6-3993-4d0a-af97-5c01d380bad9,product.categ_services_obstetrics_orders,service,8000
OBG1008,OBG1008 - Cerclage,f643eccf-d435-4db6-a35d-85cc4d749657,product.categ_services_obstetrics_orders,service,15000
OBG1009,OBG1009 - Césarienne (suivi à l'HSC),f16675de-d6bb-4fd1-914c-a25d8cf59465,product.categ_services_obstetrics_orders,service,15000
OBG1010,OBG1010 - Césarienne (suivi hors de l'HSC),c2510453-994d-4a49-9016-a77e883382c0,product.categ_services_obstetrics_orders,service,20000
OBG1011,OBG1011 - Césarienne + Hysterectomie (suivi à l'HSC),3517d312-8a22-4f60-a098-e9cc0bb5a49b,product.categ_services_obstetrics_orders,service,20000
OBG1012,OBG1012 - Césarienne + Hysterectomie (suivi hors l'HSC),865bb6bf-b38b-4a6d-a013-834e450e26d5,product.categ_services_obstetrics_orders,service,25000
OBG1013,OBG1013 - Colposcopie ,f6d6a23d-d031-4e05-ab6f-664c10fbeb1d,product.categ_services_obstetrics_orders,service,3000
OBG1014,OBG1014 - Colposcopie + Biopsie,e8c4c0b5-08e1-4f3c-bab0-bf934e739bf2,product.categ_services_obstetrics_orders,service,6000
OBG1015,OBG1015 - Condylome vulvaire (cauterisation),2f4be717-12e7-484c-9d23-1a62349355ca,product.categ_services_obstetrics_orders,service,10000
OBG1016,OBG1016 - Conisation,0df66b96-17f7-4aac-81b2-9e0320d452a9,product.categ_services_obstetrics_orders,service,15000
OBG1017,OBG1017 - Cryotherapie,c904b703-7df5-4e66-ab8b-95f9782e18f8,product.categ_services_obstetrics_orders,service,5000
OBG1018,OBG1018 - Curage Digital,f86f6592-c77e-4808-ac66-a2b4b28f507f,product.categ_services_obstetrics_orders,service,2500
OBG1019,OBG1019 - Curetage thérapeutique ,0fb10335-7163-4dd7-aea2-80cc0f34159c,product.categ_services_obstetrics_orders,service,8500
OBG1020,OBG1020 - Curetage thérapeutique sous analgesie,e9e360c4-e097-4c57-a0fd-d88adddb9ef7,product.categ_services_obstetrics_orders,service,6000
OBG1021,OBG1021 - Curetage thérapeutique/Avortement Provoqué Septique,d15a58e0-83a2-4d98-8eb7-3a902e2c524b,product.categ_services_obstetrics_orders,service,10000
OBG1022,OBG1022 - Curetage thérapeutique/avortement spontané,4055ef29-03b3-47ef-a5a8-4b310be4fd64,product.categ_services_obstetrics_orders,service,8000
OBG1023,OBG1023 - D&C (Curetage diagnostic+Biopsie),7ad13c05-feaf-49ba-ad05-7eaa7d2633c9,product.categ_services_obstetrics_orders,service,10000
OBG1024,OBG1024 - D&C Post pap smear+Biopsie,705c9732-6d44-45c2-98dd-c834912e2113,product.categ_services_obstetrics_orders,service,10000
OBG1025,OBG1025 - Délivrance Artificielle (accouchement hors HSC),f7bd36ae-ce11-4668-b69f-015f960824ac,product.categ_services_obstetrics_orders,service,2000
OBG1026,OBG1026 - Délivrance Spontanée( accouchement hors HSC),681d5790-8069-45c6-96ce-9ebf2c254471,product.categ_services_obstetrics_orders,service,1500
OBG1027,OBG1027 - Exerese masse pubienne,4b27d7d4-fefe-4454-87a0-254b65c534df,product.categ_services_obstetrics_orders,service,7500
OBG1028,OBG1028 - Fistule recto-vaginal à l'HSC,e16bc465-fba9-4a73-9d27-c4b20bfe0620,product.categ_services_obstetrics_orders,service,30000
OBG1029,OBG1029 - Fistule recto-vaginal hors l'HSC,d53229d6-7324-446b-a112-d625480f0105,product.categ_services_obstetrics_orders,service,25000
