id,name,product_variant_ids/uuid,product_variant_ids/categ_id/id,type,lst_price
ORT1001,ORT1001 - Allongement de membre inférieur ,db7b612c-c689-4ca8-9b9d-a7ad42aa34d6,product.categ_services_orthopedics_orders,service,25000
ORT1002,ORT1002 - Allongement tendineux,5cc5389e-21cf-4c28-a9ed-90f05eb3d492,product.categ_services_orthopedics_orders,service,25000
ORT1003,ORT1003 - AMO sur demande du patient (Broche),ff6d5d11-68ca-4356-ad2f-faf5ce557db3,product.categ_services_orthopedics_orders,service,20000
ORT1004,ORT1004 - AMO sur demande du patient (ECM),f04bed11-b0ad-46dd-a213-d1ca2e20bff7,product.categ_services_orthopedics_orders,service,25000
ORT1005,ORT1005 - AMO sur Fd d'infection (1ère intervention  à l'HSC),865c1b92-1110-430e-a85e-3429b28c6468,product.categ_services_orthopedics_orders,service,15000
ORT1006,ORT1006 - AMO sur Fd d'infection (1ère intervention hors de l'HSC),13b39504-0db9-4104-b172-d798a669e27f,product.categ_services_orthopedics_orders,service,25000
ORT1007,ORT1007 - Amputation Avant-bras,c592737f-137b-4756-841c-cca46ae7db37,product.categ_services_orthopedics_orders,service,15000
ORT1008,ORT1008 - Amputation bras,c58f088a-8d79-465f-99ff-dcb00a94461c,product.categ_services_orthopedics_orders,service,20000
ORT1009,ORT1009 - Amputation Doigts ,9fa3cc4b-bd5d-4c14-85ac-c498e7c6919b,product.categ_services_orthopedics_orders,service,15000
ORT1010,ORT1010 - Amputation du pied (lis franc),a7c5a6d2-5025-4d6a-a6d0-b3b6cec31bee,product.categ_services_orthopedics_orders,service,20000
ORT1011,ORT1011 - Amputation orteil,b31fc48c-4d5c-4652-824c-d232ff51173d,product.categ_services_orthopedics_orders,service,15000
ORT1012,ORT1012 - Amputation Phalange,9709edfa-6ea0-4095-b6d1-ba25061d9c99,product.categ_services_orthopedics_orders,service,12500
ORT1013,ORT1013 - Amputation trans huméral,9cf555af-1c4d-43cc-8a58-ee4d5e1ad903,product.categ_services_orthopedics_orders,service,25000
ORT1014,ORT1014 - Amputation trans radio-ulnaire. ,50ce8472-5619-4224-8abe-520e98af6334,product.categ_services_orthopedics_orders,service,20000
ORT1015,ORT1015 - Amputation trans tibial,d1f55018-108e-41e8-86b2-bedb4dd9fd52,product.categ_services_orthopedics_orders,service,25000
ORT1016,ORT1016 - Amputation transfémoral,621bd79b-c7de-49b8-88b9-179d2b3ee325,product.categ_services_orthopedics_orders,service,30000
ORT1017,ORT1017 - Amputation transmetatarsienne,a5c5839f-1777-455a-897b-7ec7589e9c23,product.categ_services_orthopedics_orders,service,10000
ORT1018,ORT1018 - Arthrodèse de la cheville,78407553-0ac5-4772-af53-04e740377276,product.categ_services_orthopedics_orders,service,20000
ORT1019,ORT1019 - Arthrodèse du coude,4f6a6da0-e088-47a7-8096-b32be8829c78,product.categ_services_orthopedics_orders,service,20000
ORT1020,ORT1020 - Arthrodèse du genou,ac3201dc-75ff-4649-9905-06223fa0105b,product.categ_services_orthopedics_orders,service,20000
ORT1021,ORT1021 - Arthrodèse du poignet,355d8854-5e0c-4369-9733-acfd8f086562,product.categ_services_orthopedics_orders,service,20000
ORT1022,ORT1022 - Arthrolyse de l'épaule (fermée),2f07bbe3-7b29-4e42-8db0-cee395a0fd7a,product.categ_services_orthopedics_orders,service,20000
ORT1023,ORT1023 - Arthrolyse de l'épaule (ouverte),a1b63454-f89d-48cb-906f-e9f3ccb769b9,product.categ_services_orthopedics_orders,service,20000
ORT1024,ORT1024 - Arthrolyse du coude (fermée),a26071c3-e16a-47ee-8763-acdcd1b9c778,product.categ_services_orthopedics_orders,service,20000
ORT1025,ORT1025 - Arthrolyse du coude (ouverte),3515ed20-4c7d-4c88-a804-7aa340c97c7c,product.categ_services_orthopedics_orders,service,20000
ORT1026,ORT1026 - Arthrolyse du Genou (fermée),d13fde4a-7765-484f-8c51-245978246f41,product.categ_services_orthopedics_orders,service,20000
ORT1027,ORT1027 - Arthrolyse du Genou (ouverte),39c313c8-ee84-4188-977a-bf10e808f453,product.categ_services_orthopedics_orders,service,20000
ORT1028,ORT1028 - Arthrolyse du poignet (fermée),ee745c56-8864-4a01-8ed2-3cce18fde3cf,product.categ_services_orthopedics_orders,service,20000
ORT1029,ORT1029 - Arthrolyse du poignet (ouverte),7f21d6b3-c34e-40a8-ab81-8edeecb1b5d8,product.categ_services_orthopedics_orders,service,20000
ORT1030,ORT1030 - Arthrolyse inter-phalangienne distale (fermée),05f95dd0-2083-4c1d-83e6-e69b60bd17e6,product.categ_services_orthopedics_orders,service,20000
ORT1031,ORT1031 - Arthrolyse inter-phalangienne distale (ouverte),bc784dce-ff17-4d34-a4f5-99f730426d1b,product.categ_services_orthopedics_orders,service,20000
ORT1032,ORT1032 - Arthrolyse inter-phalangienne proximale (fermée),655f0503-8768-450f-9017-831402795a2f,product.categ_services_orthopedics_orders,service,15000
ORT1033,ORT1033 - Arthrolyse inter-phalangienne proximale (ouverte),d30d3bdd-9087-4fce-af9e-645b7f239644,product.categ_services_orthopedics_orders,service,15000
ORT1034,ORT1034 - Arthrolyse Métacarpo-phalangienne (fermée),99fb30bb-332a-4c31-8ee4-b8299c0d6685,product.categ_services_orthopedics_orders,service,15000
ORT1035,ORT1035 - Arthrolyse Métacarpo-phalangienne (ouverte),2003f9f0-101e-4bf3-b84d-2436997f00ff,product.categ_services_orthopedics_orders,service,15000
ORT1036,ORT1036 - Arthroplastie de Hanche,e081e43a-e7e5-4dfe-a33b-ef9c32863edc,product.categ_services_orthopedics_orders,service,30000
ORT1037,ORT1037 - Arthroplastie de l'épaule,d6b6b3ce-e823-43a9-8a5a-565e1bc07562,product.categ_services_orthopedics_orders,service,30000
ORT1038,ORT1038 - Arthroplastie du coude,b61df7f6-b47f-40ae-8d5e-dbe3c3d72885,product.categ_services_orthopedics_orders,service,30000
ORT1039,ORT1039 - Arthroplastie du genou,d4586bb0-0233-43be-8762-bc6c719e844f,product.categ_services_orthopedics_orders,service,30000
ORT1040,ORT1040 - Biopsie Exerese / main,638c3253-ffd3-47cb-8857-c758346e2fcf,product.categ_services_orthopedics_orders,service,15000
ORT1041,ORT1041 - Biopsie pied,161088fc-2362-4eda-8e3b-bac2484fcf37,product.categ_services_orthopedics_orders,service,10000
ORT1042,ORT1042 - Buté osseuse de Bankart (Luxation récidivante),b5f6604b-f63c-4533-b3da-60b163242fa4,product.categ_services_orthopedics_orders,service,30000
ORT1043,ORT1043 - Carpectomie,44c1aa40-48e7-4252-b102-dc0f22c95ef2,product.categ_services_orthopedics_orders,service,15000
ORT1044,ORT1044 - Cerclage Péritendineux,3771cc9b-2626-4806-9cf9-9479c1cf4d55,product.categ_services_orthopedics_orders,service,15000
ORT1045,ORT1045 - Club foot repair bilateral ,a3e920a7-3315-405b-abb5-e103c846f23c,product.categ_services_orthopedics_orders,service,20000
ORT1046,ORT1046 - Club foot repair unilateral,d3f7ada4-cbe1-4bfe-a375-1a3f3f0aa9f6,product.categ_services_orthopedics_orders,service,15000
ORT1047,ORT1047 - Cross-finger flap,819ee102-ed2a-40dc-aa13-245f49e58abc,product.categ_services_orthopedics_orders,service,15000
ORT1048,ORT1048 - Crossleg flap,fadf2eb5-4544-4197-b4cb-6be0dd05af85,product.categ_services_orthopedics_orders,service,25000
ORT1049,ORT1049 - Debridement+lavage+parage,46354445-504f-466a-a3cd-f1aa23b24f50,product.categ_services_orthopedics_orders,service,15000
ORT1050,ORT1050 - Déplatrage court Menbres inf,6944b557-7e48-4dde-8683-d892a8e7bbd6,product.categ_services_orthopedics_orders,service,500
ORT1051,ORT1051 - Déplatrage court Menbres sup,6f998d84-e9f2-4d9e-8381-9f66af46cb67,product.categ_services_orthopedics_orders,service,500
ORT1052,ORT1052 - Déplatrage long Menbres inf,2db5efaf-0963-4c0b-bd51-d06850d37a07,product.categ_services_orthopedics_orders,service,500
ORT1053,ORT1053 - Déplatrage long Menbres sup,925ca9d7-646f-4f13-9a61-0fbd8b6e3b3f,product.categ_services_orthopedics_orders,service,500
ORT1054,ORT1054 - Désarticulation de Chopard ,b9cc88dd-a29d-40c7-b0d4-bee8f65706a3,product.categ_services_orthopedics_orders,service,20000
ORT1055,ORT1055 - Désarticulation de hanche,e33d565c-40d0-40b4-9b71-45f104e87415,product.categ_services_orthopedics_orders,service,20000
ORT1056,ORT1056 - Désarticulation de l'épaule ,9ded5748-e400-4dd7-bc8e-ee23dd62ed42,product.categ_services_orthopedics_orders,service,20000
ORT1057,ORT1057 - Désarticulation de lisfranc,e9edeef8-80b5-45e1-9947-5a144ab2912d,product.categ_services_orthopedics_orders,service,20000
ORT1058,ORT1058 - Désarticulation du coude,010efd32-59e3-48ed-ade1-3e6388a93d8b,product.categ_services_orthopedics_orders,service,20000
ORT1059,ORT1059 - Désarticulation du genou,94899878-88b1-4f6a-afde-48ba050ca809,product.categ_services_orthopedics_orders,service,20000
ORT1060,ORT1060 - DHS (Hanche),79cace0b-f97f-4d1a-8fe6-d29c451165d3,product.categ_services_orthopedics_orders,service,30000
ORT1061,ORT1061 - Doigt surnumeraire infecte,6a0952cc-9112-42d5-b601-dbf489719bdd,product.categ_services_orthopedics_orders,service,5000
ORT1062,ORT1062 - Drainage Absces,522ef43a-81d2-4245-933f-7abe953bdd4f,product.categ_services_orthopedics_orders,service,5000
ORT1063,ORT1063 - Droigt a ressaut (Triger finger),ba51033b-56d5-46f4-b0f8-013b2eb979e4,product.categ_services_orthopedics_orders,service,12000
ORT1064,ORT1064 - ECM du Femur ,b5fd4af3-2f29-4572-919d-4303902e1412,product.categ_services_orthopedics_orders,service,20000
ORT1065,ORT1065 - ECM du tibia,35874eea-efa5-4853-8fb7-a2246ae85db0,product.categ_services_orthopedics_orders,service,20000
ORT1066,ORT1066 - Embrochage per cutane,427e137e-7e94-441a-b4d2-7759a03e5a83,product.categ_services_orthopedics_orders,service,10000
ORT1067,ORT1067 - Embrochage per cutane fx supra cond. Hum. (enfant),1fe68403-3fb1-4125-b1ed-6e412b3abc16,product.categ_services_orthopedics_orders,service,15000
ORT1068,ORT1068 - Embrochage per-cutanee fx supra condylienne humér chez l'enfant,90d859ba-cb76-4fc2-ab9d-145b07046ccc,product.categ_services_orthopedics_orders,service,15000
