id,name,product_variant_ids/uuid,product_variant_ids/categ_id/id,type,lst_price
PAN2001,PAN2001 - Brûlure < 10% avec anesthésie,f10975f6-620f-4039-aa72-2beb2fd074d4,product.categ_services_woundWithAnesth_orders,service,3000
PAN2002,PAN2002 - Brûlure < 10%.  Premier Pansement avec anesthésie,0d208252-d0e7-44cc-8e83-3341cc0a1556,product.categ_services_woundWithAnesth_orders,service,5000
PAN2003,PAN2003 - Brûlure entre < 20%. Premier Pansement avec anesthésie,39338fc9-567c-4ffa-b9d1-df9176a053c4,product.categ_services_woundWithAnesth_orders,service,4000
PAN2004,PAN2004 - Brulure entre >50%   avec anesthésie,820ba128-70b7-49af-9e70-1128f49dae57,product.categ_services_woundWithAnesth_orders,service,8000
PAN2005,PAN2005 - Brulure entre >50%  1er pansement avec anesthésie,43e41e53-4d13-4464-aeb6-fe11e4b58144,product.categ_services_woundWithAnesth_orders,service,12500
PAN2006,PAN2006 - Brûlure entre 10 et 20% Premier Pansement  avec anesthésie,617d1146-2453-44e2-8b6d-224a0958bc50,product.categ_services_woundWithAnesth_orders,service,5000
PAN2007,PAN2007 - Brulure entre 20 à 50%   avec anesthésie,34dd06d2-de44-47e5-b8cc-9f9b3340e0f7,product.categ_services_woundWithAnesth_orders,service,7500
PAN2008,PAN2008 - Brulure entre 20 à 50% 1er pansement avec anesthésie,9dcc0c19-18ac-4cd9-ba25-f611d37861b2,product.categ_services_woundWithAnesth_orders,service,10000
PAN2009,PAN2009 - Débridement Brulure >50% avec anesthésie,1f0104f6-c44a-4842-a338-f039f21753f9,product.categ_services_woundWithAnesth_orders,service,7500
PAN2010,PAN2010 - Débridement Brulure entre 20 à 50% avec anesthésie,60a92016-3a2c-419d-ae29-5b7fd6d45fb7,product.categ_services_woundWithAnesth_orders,service,5000
